Location,Year, Net earnings by place of residence(Thousands of dollars), Personal current transfer receipts(Thousands of dollars),  Income maintenance benefits 1/(Thousands of dollars),  Unemployment insurance compensation(Thousands of dollars),  Retirement and other(Thousands of dollars)," Dividends, interest, and rent 2/(Thousands of dollars)", Population (persons) 3/(Number of persons), Per capita personal income 4/(Dollars), Per capita net earnings 4/(Dollars), Per capita personal current transfer receipts 4/(Dollars),  Per capita income maintenance benefits 4/(Dollars),  Per capita unemployment insurance compensation 4/(Dollars),  Per capita retirement and other 4/(Dollars)," Per capita dividends, interest, and rent 4/(Dollars)", Earnings by place of work(Thousands of dollars),  Wages and salaries(Thousands of dollars),  Supplements to wages and salaries(Thousands of dollars),   Employer contributions for employee pension and insurance funds 5/(Thousands of dollars),   Employer contributions for government social insurance(Thousands of dollars),  Proprietors' income(Thousands of dollars),   Farm proprietors' income(Thousands of dollars),   Nonfarm proprietors' income(Thousands of dollars),Total employment (number of jobs)(Number of jobs), Wage and salary employment(Number of jobs), Proprietors employment(Number of jobs),  Farm proprietors employment 6/(Number of jobs),  Nonfarm proprietors employment(Number of jobs),Average earnings per job (dollars)(Dollars), Average wages and salaries(Dollars), Average nonfarm proprietors' income(Dollars)
"Austin, TX",2012,809086,211300,17199,4577,189524,311244,28516,46698,28373,7410,603,161,6646,10915,719113,482030,102794,68198,34596,134289,-4824,139113,17866,11171,6695,1900,4795,40250,43150,29012
"Austin, TX",2013,864656,221753,16980,3663,201110,233122,28651,46055,30179,7740,593,128,7019,8137,721834,459212,100695,68102,32593,161927,-1100,163027,17670,10955,6715,1918,4797,40851,41918,33985
"Austin, TX",2014,918434,231997,17373,2372,212252,272742,28940,49177,31736,8016,600,82,7334,9424,736458,476372,102159,68777,33382,157927,-4103,162030,17770,10941,6829,1896,4933,41444,43540,32846
"Austin, TX",2015,928420,246899,17275,3047,226577,323158,29447,50887,31529,8385,587,103,7694,10974,766827,485658,105618,71942,33676,175551,14200,161351,18042,11066,6976,1876,5100,42502,43887,31637
"Austin, TX",2016,870330,261246,18264,3705,239277,322415,29637,49060,29366,8815,616,125,8074,10879,711337,480156,105276,71205,34071,125905,10131,115774,18060,11251,6809,1870,4939,39387,42677,23441
"Austin, TX",2017,861189,268248,20987,2520,244741,337895,29786,49262,28913,9006,705,85,8217,11344,715102,501172,109085,72733,36352,104845,7521,97324,18014,11096,6918,1858,5060,39697,45167,19234
"Brazoria, TX",2001,5439026,731177,57201,19857,654119,860790,248280,28319,21907,2945,230,80,2635,3467,3889528,2814728,644775,458056,186719,430025,6056,423969,105976,80538,25438,2476,22962,36702,34949,18464
"Brazoria, TX",2002,5576229,811422,67358,36347,707717,836163,255246,28301,21846,3179,264,142,2773,3276,4012969,2888232,671035,477908,193127,453702,10362,443340,107902,81392,26510,2393,24117,37191,35485,18383
"Brazoria, TX",2003,5671323,877613,80796,37880,758937,894455,261269,28489,21707,3359,309,145,2905,3424,4000855,2855682,705841,506456,199385,439332,17412,421920,108977,80642,28335,2323,26012,36713,35412,16220
"Brazoria, TX",2004,5921145,927675,88312,25118,814245,861700,268051,28765,22090,3461,329,94,3038,3215,4095898,2985183,719948,516362,203586,390767,16517,374250,111190,81234,29956,2255,27701,36837,36748,13510
"Brazoria, TX",2005,6437173,1022267,104250,17395,900622,967000,274336,30716,23465,3726,380,63,3283,3525,4326971,3180225,742678,524796,217882,404068,11847,392221,116257,84319,31938,2257,29681,37219,37717,13215
"Brazoria, TX",2006,7251962,1107005,107657,14405,984943,1101463,284248,33282,25513,3895,379,51,3465,3875,4806101,3541263,803205,564878,238327,461633,6737,454896,122179,88390,33789,2201,31588,39337,40064,14401
"Brazoria, TX",2007,8096675,1220508,109506,14795,1096207,1269504,293296,36096,27606,4161,373,50,3738,4328,5191582,3854975,842173,588132,254041,494434,6301,488133,126522,92000,34522,2344,32178,41033,41902,15170
"Brazoria, TX",2008,8594263,1402216,125649,25175,1251392,1395811,301336,37806,28521,4653,417,84,4153,4632,5519403,4111964,886902,625020,261882,520537,-897,521434,130373,94079,36294,2424,33870,42335,43708,15395
"Brazoria, TX",2009,8377447,1540314,146087,79424,1314803,1283430,309236,36222,27091,4981,472,257,4252,4150,5261406,3818653,883625,632637,250988,559128,-485,559613,128441,90652,37789,2514,35275,40964,42124,15864
"Brazoria, TX",2010,8616424,1735065,169135,92259,1473671,1261667,314453,36931,27401,5518,538,293,4686,4012,5635432,4019702,959294,677717,281577,656436,-4415,660851,129543,91927,37616,2620,34996,43502,43727,18884
"Brazoria, TX",2011,9210474,1807584,175572,73574,1558438,1402967,319274,38904,28848,5662,550,230,4881,4394,6071880,4368396,981544,680139,301405,721940,-5825,727765,133550,94649,38901,2719,36182,45465,46154,20114
"Brazoria, TX",2012,9866809,1804699,176463,58576,1569660,1544291,324433,40735,30412,5563,544,181,4838,4760,6568876,4670395,1050359,728073,322286,848122,6666,841456,138736,99338,39398,2787,36611,47348,47015,22984
"Brazoria, TX",2013,10394594,1886496,176749,45424,1664323,1504191,330170,41752,31483,5714,535,138,5041,4556,7086953,4971183,1148969,809863,339106,966801,13653,953148,143721,102690,41031,2802,38229,49310,48410,24933
"Brazoria, TX",2014,11322332,1998955,183496,28737,1786722,1672477,337782,44389,33520,5918,543,85,5290,4951,7866152,5506798,1247965,881260,366705,1111389,6722,1104667,148828,106667,42161,2769,39392,52854,51626,28043
"Brazoria, TX",2015,11807457,2168520,181663,36240,1950617,1781615,345738,45577,34151,6272,525,105,5642,5153,8400421,5963167,1369147,967932,401215,1068107,4518,1063589,154327,111095,43232,2718,40514,54433,53676,26252
"Brazoria, TX",2016,12070190,2300695,186429,42830,2071436,1814784,353828,45744,34113,6502,527,121,5854,5129,8311541,6062677,1383527,976809,406718,865337,-2582,867919,155504,113446,42058,2710,39348,53449,53441,22058
"Brazoria, TX",2017,12354445,2398010,225656,37936,2134418,1893412,362457,45925,34085,6616,623,105,5889,5224,8624472,6422951,1456616,1027997,428619,744905,-1213,746118,157260,114436,42824,2692,40132,54842,56127,18592
"Fort Bend, TX",2001,11315149,710467,64331,18747,627389,1564385,375708,36172,30117,1891,171,50,1670,4164,6109158,3605059,722504,486379,236125,1781595,14409,1767186,140883,99187,41696,1587,40109,43363,36346,44060
"Fort Bend, TX",2002,11631832,820792,82323,42404,696065,1522950,397943,35120,29230,2063,207,107,1749,3827,6449458,3766650,777887,530244,247643,1904921,11407,1893514,147718,102794,44924,1516,43408,43661,36643,43621
"Fort Bend, TX",2003,11806647,915643,99294,52981,763368,1632241,418747,34280,28195,2187,237,127,1823,3898,6447857,3885980,842865,572918,269947,1719012,19959,1699053,154489,104550,49939,1407,48532,41737,37169,35009
"Fort Bend, TX",2004,12742588,1000126,118477,34243,847406,1786744,441139,35203,28886,2267,269,78,1921,4050,6728203,4191381,897794,607809,289985,1639028,30901,1608127,163350,109047,54303,1323,52980,41189,38436,30353
"Fort Bend, TX",2005,14180491,1177030,162237,27842,986951,2152265,462953,37822,30631,2542,350,60,2132,4649,7721998,4988895,1015831,686648,329183,1717272,35042,1682230,178882,118329,60553,1275,59278,43168,42161,28379
"Fort Bend, TX",2006,16386328,1309214,172268,24764,1112182,2408753,490916,40953,33379,2667,351,50,2266,4907,8693742,5451409,1089824,733603,356221,2152509,49797,2102712,189173,124274,64899,1202,63697,45957,43866,33011
"Fort Bend, TX",2007,18709561,1486754,186589,24856,1275309,2817234,516564,44551,36219,2878,361,48,2469,5454,9770098,6248525,1186239,789667,396572,2335334,27712,2307622,202996,135292,67704,1234,66470,48130,46185,34717
"Fort Bend, TX",2008,21245997,1843028,217970,40367,1584691,3596585,542957,49149,39130,3394,401,74,2919,6624,10722696,6676371,1240135,823150,416985,2806190,26741,2779449,216327,141646,74681,1216,73465,49567,47134,37834
"Fort Bend, TX",2009,20929361,2023935,248805,132423,1642707,3214430,569130,45978,36774,3556,437,233,2886,5648,10288322,6552295,1300085,879431,420654,2435942,8610,2427332,220454,140330,80124,1195,78929,46669,46692,30753
"Fort Bend, TX",2010,22067910,2348596,287759,157978,1902859,3207833,590286,46798,37385,3979,487,268,3224,5434,10801351,6596927,1341676,899871,441805,2862748,9483,2853265,223362,141807,81555,1181,80374,48358,46520,35500
"Fort Bend, TX",2011,23892850,2475483,302298,124004,2049181,3621898,606499,49448,39395,4082,498,204,3379,5972,11154659,7087830,1369196,897183,472013,2697633,-12988,2710621,235073,148564,86509,1164,85345,47452,47709,31761
"Fort Bend, TX",2012,26121188,2510327,308697,102642,2098988,4214500,625394,52521,41768,4014,494,164,3356,6739,11994721,7649126,1466019,958126,507893,2879576,-9607,2889183,244858,156089,88769,1135,87634,48986,49005,32969
"Fort Bend, TX",2013,28411462,2664207,319401,80985,2263821,4355703,652496,54301,43543,4083,490,124,3469,6675,13575086,8407326,1647494,1091252,556242,3520266,14049,3506217,262090,167241,94849,1145,93704,51796,50271,37418
"Fort Bend, TX",2014,32283460,2897821,328241,52004,2517576,4970493,683943,58706,47202,4237,480,76,3681,7267,15821097,8967156,1748069,1161517,586552,5105872,-9939,5115811,274032,175085,98947,1132,97815,57734,51216,52301
"Fort Bend, TX",2015,35482029,3213139,327693,71651,2813795,5271610,713881,61588,49703,4501,459,100,3942,7384,18363322,9408337,1881821,1264393,617428,7073164,-10720,7083884,289300,183620,105680,1119,104561,63475,51238,67749
"Fort Bend, TX",2016,31693628,3476886,345924,89038,3041924,5257779,741958,54489,42716,4686,466,120,4100,7086,14668920,9334076,1892119,1265892,626227,3442725,-29713,3472438,300226,187771,112455,1115,111340,48860,49710,31188
"Fort Bend, TX",2017,32570538,3644749,415453,71871,3157425,5475185,764828,54510,42585,4765,543,94,4128,7159,14876156,9766351,1985593,1317319,668274,3124212,-16146,3140358,307394,192553,114841,1109,113732,48394,50720,27612
"Waller, TX",2001,552617,111995,9855,1360,100780,89704,33747,22352,16375,3319,292,40,2986,2658,423605,291298,68610,49851,18759,63697,1440,62257,15980,11644,4336,1458,2878,26508,25017,21632
"Waller, TX",2002,580562,126058,12179,3026,110853,87794,35060,22659,16559,3595,347,86,3162,2504,458911,306446,75684,56053,19631,76781,9807,66974,16326,11807,4519,1417,3102,28109,25955,21591
"Waller, TX",2003,600075,132966,14255,4246,114465,90605,36333,22669,16516,3660,392,117,3150,2494,512015,352077,87637,63416,24221,72301,12636,59665,16945,12237,4708,1382,3326,30216,28772,17939
"Waller, TX",2004,647859,143419,17576,2741,123102,100570,36850,24202,17581,3892,477,74,3341,2729,531269,364303,91379,66792,24587,75587,13458,62129,17464,12587,4877,1363,3514,30421,28943,17680
"Waller, TX",2005,718088,154310,20389,1967,131954,118471,37242,26606,19282,4143,547,53,3543,3181,631076,429351,106198,77650,28548,95527,6414,89113,19130,13965,5165,1382,3783,32989,30745,23556
"Waller, TX",2006,821204,169345,22670,1764,144911,127006,38260,29209,21464,4426,593,46,3788,3320,740174,486922,116423,84949,31474,136829,8686,128143,19886,14578,5308,1367,3941,37221,33401,32515
"Waller, TX",2007,852773,185236,21133,1751,162352,150966,39809,29867,21422,4653,531,44,4078,3792,795881,538869,117153,82470,34683,139859,4301,135558,19702,14278,5424,1476,3948,40396,37741,34336
"Waller, TX",2008,935955,211089,22837,2782,185470,180527,40578,32717,23066,5202,563,69,4571,4449,902328,594736,122904,85922,36982,184688,3374,181314,20273,14587,5686,1519,4167,44509,40772,43512
"Waller, TX",2009,905845,239337,26764,9064,203509,172271,42087,31303,21523,5687,636,215,4835,4093,864418,563486,125158,89417,35741,175774,7125,168649,20508,14592,5916,1566,4350,42150,38616,38770
"Waller, TX",2010,928116,268854,30302,11444,227108,179978,43513,31645,21330,6179,696,263,5219,4136,891574,578709,134435,96123,38312,178430,4601,173829,21037,14925,6112,1623,4489,42381,38774,38723
"Waller, TX",2011,978551,281014,31903,9084,240027,191323,44088,32909,22195,6374,724,206,5444,4340,943122,639071,141436,99065,42371,162615,9116,153499,21910,15643,6267,1676,4591,43045,40853,33435
"Waller, TX",2012,1047789,274138,31956,7570,234612,206497,44353,34460,23624,6181,720,171,5290,4656,998973,674018,154631,109366,45265,170324,2627,167697,23093,16691,6402,1711,4691,43259,40382,35749
"Waller, TX",2013,1125817,286150,32909,5680,247561,211575,45413,35751,24791,6301,725,125,5451,4659,1073707,707593,169318,121866,47452,196796,13163,183633,24083,17452,6631,1726,4905,44584,40545,37438
"Waller, TX",2014,1228109,298267,33899,3608,260760,239466,46798,37733,26243,6373,724,77,5572,5117,1167106,779309,179216,127898,51318,208581,7025,201556,24634,17897,6737,1707,5030,47378,43544,40071
"Waller, TX",2015,1217279,321109,34423,5012,281674,240218,48639,36567,25027,6602,708,103,5791,4939,1122555,765343,187104,136898,50206,170108,10726,159382,24953,17981,6972,1688,5284,44987,42564,30163
"Waller, TX",2016,1279011,344713,35947,6319,302447,252673,50058,37484,25551,6886,718,126,6042,5048,1069175,748100,183425,133988,49437,137650,2396,135254,25275,17808,7467,1683,5784,42302,42009,23384
"Waller, TX",2017,1307028,353215,39822,4521,308872,264173,51307,37508,25475,6884,776,88,6020,5149,1093997,777034,195437,142247,53190,121526,318,121208,25589,18016,7573,1671,5902,42753,43130,20537
"San Patricio, TX",2001,903779,269394,35112,4862,229420,206854,66690,20693,13552,4039,526,73,3440,3102,791007,582247,146485,105689,40796,62275,2942,59333,25774,20005,5769,580,5189,30690,29105,11434
"San Patricio, TX",2002,959395,291591,38907,6873,245811,202378,66820,21750,14358,4364,582,103,3679,3029,860697,632567,159665,116386,43279,68465,3525,64940,26168,20365,5803,564,5239,32891,31061,12395
"San Patricio, TX",2003,1056230,308263,43463,8776,256024,199022,66440,23533,15898,4640,654,132,3853,2996,971903,676381,185836,136200,49636,109686,39664,70022,27143,21069,6074,532,5542,35807,32103,12635
"San Patricio, TX",2004,1075995,327541,46308,6818,274415,219522,66990,24228,16062,4889,691,102,4096,3277,943025,655317,184820,136641,48179,102888,38783,64105,26386,20376,6010,521,5489,35740,32161,11679
"San Patricio, TX",2005,1105688,356433,50392,4990,301051,247341,67232,25426,16446,5302,750,74,4478,3679,919956,659726,183683,134810,48873,76547,20216,56331,26153,19844,6309,521,5788,35176,33246,9732
"San Patricio, TX",2006,1205476,382476,49832,3808,328836,245561,67022,27357,17986,5707,744,57,4906,3664,1011244,740572,199178,144417,54761,71494,-13589,85083,26472,20128,6344,510,5834,38201,36793,14584
"San Patricio, TX",2007,1314586,417134,49774,3807,363553,268103,66723,29972,19702,6252,746,57,5449,4018,1108998,787936,204837,147354,57483,116225,30499,85726,27694,20899,6795,544,6251,40045,37702,13714
"San Patricio, TX",2008,1370791,462946,53520,5822,403604,309773,66417,32274,20639,6970,806,88,6077,4664,1160346,847915,207060,148310,58750,105371,11859,93512,28554,21532,7022,562,6460,40637,39379,14476
"San Patricio, TX",2009,1308677,494797,58228,17731,418838,293359,65751,31891,19904,7525,886,270,6370,4462,1127533,823167,205911,148338,57573,98455,1835,96620,27983,20779,7204,575,6629,40293,39615,14575
"San Patricio, TX",2010,1391014,548856,65076,22269,461511,285558,64430,34540,21590,8519,1010,346,7163,4432,1144594,792478,203389,145102,58287,148727,35159,113568,27088,19617,7471,591,6880,42255,40398,16507
"San Patricio, TX",2011,1541584,553799,66097,15799,471903,318125,64455,37445,23917,8592,1025,245,7321,4936,1243973,848987,207577,143552,64025,187409,43141,144268,27785,20208,7577,606,6971,44771,42012,20695
"San Patricio, TX",2012,1660992,553171,65186,12254,475731,341066,65265,39152,25450,8476,999,188,7289,5226,1345073,953169,236600,164547,72053,155304,3396,151908,29558,21821,7737,617,7120,45506,43681,21335
"San Patricio, TX",2013,1784104,561564,63601,9939,488024,350196,66134,40764,26977,8491,962,150,7379,5295,1427802,966220,246358,174687,71671,215224,33267,181957,29787,21935,7852,624,7228,47934,44049,25174
"San Patricio, TX",2014,1830529,592578,64834,6712,521032,382095,66638,42096,27470,8892,973,101,7819,5734,1442143,1009106,254462,180662,73800,178575,-8105,186680,30350,22457,7893,617,7276,47517,44935,25657
"San Patricio, TX",2015,1808827,635626,65366,10218,560042,366958,67084,41909,26964,9475,974,152,8348,5470,1391448,997846,256154,183783,72371,137448,-15236,152684,29855,21806,8049,614,7435,46607,45760,20536
"San Patricio, TX",2016,1760812,670551,66973,12858,590720,371131,67262,41665,26178,9969,996,191,8782,5518,1404255,1048316,263371,186287,77084,92568,-21198,113766,29568,22200,7368,612,6756,47492,47221,16839
"San Patricio, TX",2017,1804584,690249,78674,9825,601750,385470,67215,42852,26848,10269,1170,146,8953,5735,1436147,1073987,266740,184930,81810,95420,407,95013,29597,22084,7513,609,6904,48523,48632,13762
"Nueces, TX",2001,5619769,1268530,163002,24518,1081010,1402955,313670,26433,17916,4044,520,78,3446,4473,6689156,4543010,1083254,777143,306111,1062892,2622,1060270,183482,154237,29245,668,28577,36457,29455,37102
"Nueces, TX",2002,5760624,1382154,180288,35521,1166345,1359786,316256,26885,18215,4370,570,112,3688,4300,6882335,4633384,1098566,782524,316042,1150385,7040,1143345,183916,153694,30222,642,29580,37421,30147,38653
"Nueces, TX",2003,6053138,1474464,198243,44723,1231498,1399142,317632,28104,19057,4642,624,141,3877,4405,7258270,4776274,1202650,857584,345066,1279346,49541,1229805,185613,153591,32022,601,31421,39104,31097,39140
"Nueces, TX",2004,6433297,1552833,210182,32296,1310355,1369806,321879,29067,19987,4824,653,100,4071,4256,7787981,5033606,1254085,893252,360833,1500290,74006,1426284,187222,154712,32510,588,31922,41598,32535,44680
"Nueces, TX",2005,6844490,1702857,238171,23202,1441484,1557213,325515,31042,21027,5231,732,71,4428,4784,8317433,5319557,1326035,939688,386347,1671841,20564,1651277,191210,157733,33477,582,32895,43499,33725,50198
"Nueces, TX",2006,7322051,1807687,242344,20190,1545153,1652004,329113,32760,22248,5493,736,61,4695,5020,9028555,5787346,1449473,1042333,407140,1791736,6268,1785468,194863,160350,34513,569,33944,46333,36092,52600
"Nueces, TX",2007,7258327,1988433,249372,19954,1719107,1833363,330512,33524,21961,6016,755,60,5201,5547,9131871,6185886,1450048,1020151,429897,1495937,21091,1474846,200607,162774,37833,604,37229,45521,38003,39616
"Nueces, TX",2008,8075576,2207779,272380,28713,1906686,2046758,333526,36969,24213,6620,817,86,5717,6137,10197271,6611534,1502536,1050446,452090,2083201,543,2082658,204763,166826,37937,619,37318,49800,39631,55808
"Nueces, TX",2009,7431889,2393428,310910,76478,2006040,1809166,338220,34399,21974,7077,919,226,5931,5349,9351831,6317355,1540815,1100631,440184,1493661,11181,1482480,201577,162744,38833,628,38205,46393,38818,38803
"Nueces, TX",2010,7944903,2640732,342464,93630,2204638,1899860,340261,36694,23349,7761,1006,275,6479,5584,9860257,6451260,1615965,1141955,474010,1793032,125032,1668000,201378,162812,38566,641,37925,48964,39624,43982
"Nueces, TX",2011,8700808,2721020,351356,77483,2292181,2112276,343225,39432,25350,7928,1024,226,6678,6154,10454750,6760586,1613456,1122109,491347,2080708,157433,1923275,203843,163334,40509,653,39856,51288,41391,48256
"Nueces, TX",2012,9130523,2685752,348137,62546,2275069,2355095,347848,40740,26249,7721,1001,180,6540,6770,10909685,7286163,1718684,1191015,527669,1904838,21198,1883640,208837,167234,41603,654,40949,52240,43569,46000
"Nueces, TX",2013,9585327,2768198,353282,47433,2367483,2287483,352781,41502,27171,7847,1001,134,6711,6484,11512747,7543747,1836631,1293456,543175,2132369,83476,2048893,213644,171345,42299,662,41637,53888,44027,49208
"Nueces, TX",2014,10015363,2907274,351638,30673,2524963,2541875,356452,43385,28097,8156,986,86,7084,7131,12064361,8083996,1933240,1358200,575040,2047125,29894,2017231,217758,174700,43058,654,42404,55403,46274,47572
"Nueces, TX",2015,9709926,3082429,351432,40386,2690611,2563648,360437,42604,26939,8552,975,112,7465,7113,11832462,8138688,2010003,1428996,581007,1683771,-12012,1695783,218794,175302,43492,651,42841,54080,46427,39583
"Nueces, TX",2016,9080964,3251115,353566,47946,2849603,2363171,361529,40647,25118,8993,978,133,7882,6537,11238422,8026685,1994697,1419239,575458,1217040,32813,1184227,216527,174483,42044,649,41395,51903,46003,28608
"Nueces, TX",2017,9317128,3341860,411601,38567,2891692,2466418,361221,41873,25793,9252,1139,107,8005,6828,11525524,8224208,2037468,1437181,600287,1263848,76470,1187378,217453,174433,43020,646,42374,53002,47148,28021
