"CAINC5N Personal Income by Major Component and Earnings by NAICS Industry 1/"
"(Thousands of dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2012","2013","2014","2015","2016","2017"
"12005","Bay, FL","1702","        Museums, historical sites, and similar institutions",3016,3025,3715,3554,4152,4641
"12005","Bay, FL","1703","        Amusement, gambling, and recreation industries",26145,25787,31839,38235,43994,43599
"12005","Bay, FL","1800","      Accommodation and food services",297831,298654,321220,343416,358770,364053
"12005","Bay, FL","1801","        Accommodation",78824,71597,69373,72980,79529,87456
"12005","Bay, FL","1802","        Food services and drinking places",219007,227057,251847,270436,279241,276597
"12005","Bay, FL","1900","      Other services (except government and government enterprises)",172514,172594,181499,190695,191589,202910
"12005","Bay, FL","1901","        Repair and maintenance",45884,46165,46610,50779,50266,55283
"12005","Bay, FL","1902","        Personal and laundry services",56227,56045,60747,62148,62427,67394
"12005","Bay, FL","1903","        Religious, grantmaking, civic, professional, and similar organizations",63578,63149,65765,69162,70785,72663
"12005","Bay, FL","1904","        Private households",6825,7235,8377,8606,8111,7570
"12005","Bay, FL","2000","    Government and government enterprises",1156334,1117523,1194659,1232652,1248343,1285361
"12005","Bay, FL","2001","      Federal civilian",366978,350182,368475,397281,410954,426952
"12005","Bay, FL","2002","      Military",299112,313346,355963,362015,354488,367810
"12005","Bay, FL","2010","      State and local",490244,453995,470221,473356,482901,490599
"12005","Bay, FL","2011","        State government",106186,109521,110700,113035,112547,113331
"12005","Bay, FL","2012","        Local government",384058,344474,359521,360321,370354,377268
"Legend / Footnotes:"
"1/ The estimates of earnings for 2001-2006 are based on the 2002 North American Industry Classification System (NAICS). The estimates for 2007-2010 are based on the 2007 NAICS. The estimates for 2011-2016 are based on the 2012 NAICS. The estimates for 2017 forward are based on the 2017 NAICS."
"2/ Census Bureau midyear population estimates. Estimates for 2010-2017 reflect county population estimates available as of March 2018."
"3/ Employer contributions for government social insurance are included in earnings by industry and earnings by place of work, but they are excluded from net earnings by place of residence and personal income. Employee and self-employed contributions are subtractions in the calculation of net earnings by place of residence and all of the income measures."
"4/ The adjustment for residence is the net inflow of the earnings of interarea commuters. For the United States, it consists of adjustments for border workers and US residents employed by international organizations and foreign embassies."
"5/ Rental income of persons includes the capital consumption adjustment."
"6/ Includes actual employer contributions and actuarially imputed employer contributions to reflect benefits accrued by defined benefit pension plan participants through service to employers in the current period."
"7/ Proprietors' income includes the inventory valuation adjustment and capital consumption adjustment."
"8/ Under the 2007 NAICS, internet publishing and broadcasting was reclassified to other information services."
"Note-- All dollar estimates are in thousands of current dollars (not adjusted for inflation). Statistics presented in thousands of dollars do not indicate more precision than statistics presented  in millions of dollars."
"Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget bulletin no. 18-03 issued April 10, 2018."
"(D) Not shown to avoid disclosure of confidential information; estimates are included in higher-level totals."
"(NA) Not available."
"Last updated: November 15, 2018-- new statistics for 2017; revised statistics for 2001-2016."
